,Sum,Max,Min
0,0.039,0.0213,0.0204
1,0.0399,0.029,0.0302
2,0.0408,0.0382,0.0369
3,0.041,0.045,0.0459
4,0.0436,0.0545,0.0551
5,0.0452,0.0635,0.0624
6,0.0422,0.0715,0.0747
7,0.0422,0.0803,0.0792
8,0.0441,0.0878,0.0898
9,0.0477,0.102,0.0961
10,0.0463,0.1041,0.1048
11,0.045,0.1138,0.1137
12,0.0473,0.1215,0.1213
13,0.0464,0.1298,0.1273
14,0.0475,0.1399,0.1367
15,0.0496,0.1467,0.1439
16,0.0514,0.1534,0.1528
17,0.0463,0.1629,0.1614
18,0.0488,0.1708,0.1699
19,0.0508,0.1781,0.1763
20,0.0547,0.1865,0.1865
21,0.0552,0.1992,0.195
22,0.0539,0.2083,0.2037
23,0.0566,0.2138,0.2121
24,0.0577,0.2199,0.2198
25,0.0586,0.2285,0.2297
26,0.0548,0.2383,0.236
27,0.0551,0.2444,0.2464
28,0.0579,0.2551,0.2551
29,0.0577,0.2614,0.2605
30,0.0638,0.2718,0.2707
31,0.0606,0.28,0.2802
32,0.0572,0.2888,0.2875
33,0.0568,0.2927,0.2931
34,0.0589,0.3028,0.3036
35,0.0585,0.3122,0.3087
36,0.0603,0.316,0.3219
37,0.0599,0.3315,0.3276
38,0.0719,0.3455,0.3348
39,0.0631,0.3476,0.3425
40,0.0642,0.3546,0.356
41,0.0628,0.3619,0.3603
42,0.072,0.3695,0.3708
43,0.0642,0.3801,0.3833
44,0.0685,0.3874,0.3878
45,0.077,0.3958,0.3938
46,0.0665,0.4037,0.4022
47,0.067,0.4084,0.4107
48,0.068,0.4212,0.4181
49,0.0689,0.4292,0.4241
50,0.0666,0.4349,0.4538
51,0.0689,0.4622,0.4491
52,0.0695,0.4633,0.4626
53,0.0823,0.4779,0.4754
54,0.0786,0.4887,0.4818
55,0.0835,0.4916,0.4959
56,0.0769,0.5026,0.4938
57,0.0795,0.5123,0.5078
58,0.0743,0.5204,0.514
59,0.0751,0.5281,0.5356
60,0.0771,0.5425,0.533
61,0.0764,0.5499,0.5407
62,0.0951,0.5509,0.5525
63,0.0782,0.5603,0.5591
64,0.0817,0.5721,0.5731
65,0.0838,0.5763,0.5729
66,0.091,0.5827,0.6937
67,0.0972,0.7408,0.798
68,0.095,0.6713,0.6401
69,0.0861,0.8054,0.6665
70,0.0901,0.6192,0.6187
71,0.0873,0.6325,0.6309
72,0.0979,0.6318,0.6341
73,0.0835,0.6491,0.6486
74,0.1038,0.8038,0.6698
75,0.1074,0.6638,0.6603
76,0.0885,0.6644,0.6701
77,0.096,0.6789,0.6821
78,0.101,0.6916,0.688
79,0.1002,0.6915,0.6973
80,0.0958,0.729,0.7024
81,0.0928,0.7068,0.7218
82,0.0944,0.7276,0.7225
83,0.0908,0.7284,0.7264
84,0.09,0.7334,0.7362
85,0.1066,0.7559,0.7438
86,0.0941,0.7518,0.7638
87,0.0978,0.762,0.7723
88,0.096,0.7789,0.7766
89,0.11,0.7798,0.7846
90,0.1073,0.7882,0.7962
91,0.1038,0.8042,0.7903
92,0.1095,0.8109,0.8138
93,0.0942,0.819,0.8186
94,0.1007,0.8289,0.8269
95,0.1024,0.8353,0.8314
96,0.0964,0.85,0.8398
97,0.0999,0.8539,0.8472
98,0.0992,0.8545,0.8527
99,0.1077,0.8725,0.8729
100,0.1041,0.8728,0.8734
101,0.1014,0.885,0.8832
102,0.1123,0.908,0.8974
103,0.1111,0.9085,0.9119
104,0.1028,0.9208,0.9249
105,0.1065,0.9298,0.9355
106,0.1196,0.9416,0.9397
107,0.1012,0.9542,0.9535
108,0.106,0.9782,0.9632
109,0.1032,0.9618,0.9764
110,0.1209,0.9798,0.9773
111,0.1254,0.9812,0.9889
112,0.1239,0.9962,0.9899
113,0.1265,0.9968,0.9976
114,0.1153,1.0105,1.0127
115,0.1216,1.0208,1.0324
116,0.1047,1.024,1.0244
117,0.1199,1.0416,1.032
118,0.1311,1.0335,1.0389
119,0.112,1.0537,1.0512
120,0.1208,1.0544,1.066
121,0.113,1.0755,1.0643
122,0.1342,1.0718,1.0775
123,0.1107,1.0822,1.0872
124,0.13,1.0875,1.092
125,0.1185,1.0887,1.0927
126,0.1304,1.1069,1.1046
